Type,Handle,Block,Layer,Linetype,Linetype Scale,Lineweight,Color,Displayed Color,Draw Order,Parent Id,Style:Overall scale,Style:Linear measurement factor,Style:Text height,Style:Dimension line gap,Style:Arrow size,Style:Dimension line increment,Style:Extension line extension,Style:Extension line offset,Style:Text position vertical,Style:Text horizontal,Style:Tick size,Style:Linear format,Style:Decimal places,Style:Decimal separator,Style:Zero suppression,Style:Angular format,Style:Angular decimal places,Style:Angular zero suppression,Style:Architectur tick,Style:Text color,Style:Arrow block,Style:Arrow block 1,Style:Arrow block 2,Center:X,Center:Y,Center:Z,Middle:X,Middle:Y,Middle:Z,Radius,Reversed,Diameter,Length,Sweep Angle,Area,Referenced Block,Position:X,Position:Y,Position:Z,Scale:X,Scale:Y,Scale:Z,Angle,Columns,Rows,Column Spacing,Row Spacing,Circumference,Major Point:X,Major Point:Y,Major Point:Z,Ratio,Start Parameter,End Parameter,Start Angle,End Angle,Start Point:X,Start Point:Y,Start Point:Z,End Point:X,End Point:Y,End Point:Z,Width,Height,Middle Point:X,Middle Point:Y,Middle Point:Z,Closed Periodic,Degree,Control Point:X,Control Point:Y,Control Point:Z,Fit Point:X,Fit Point:Y,Fit Point:Z,Knot Vector:Knot,Use Start Tangent,Start Tangent:X,Start Tangent:Y,Start Tangent:Z,Use End Tangent,End Tangent:X,End Tangent:Y,End Tangent:Z,Scale,Rotation,On,View Center:X,View Center:Y,View Target:X,View Target:Y,View Target:Z,Overall,Simple,Text Position:X,Text Position:Y,Text Position:Z,Text,,Plain Text,Font Name,Text Height,Text Width,Text Angle,X Scale,Bold,Italic,Line Spacing,Alignment:Horizontal,Alignment:Vertical,Backward,Upside Down,Invisible,Tag,Prompt,Name,Origin:X,Origin:Y,Origin:Z,Off,Frozen,Locked,Collapsed,Plottable,Snappable,Off is Freeze,Tab Order,Min Limits:X,Min Limits:Y,Min Limits:Z,Max Limits:X,Max Limits:Y,Max Limits:Z,Insertion Base:X,Insertion Base:Y,Insertion Base:Z,Min Extents:X,Min Extents:Y,Min Extents:Z,Max Extents:X,Max Extents:Y,Max Extents:Z,Plot Margins:Left,Plot Margins:Bottom,Plot Margins:Right,Plot Margins:Top,Plot Paper Size:Width,Plot Paper Size:Height,Plot Origin:X,Plot Origin:Y,Plot Window Area Min:X,Plot Window Area Min:Y,Plot Window Area Max:X,Plot Window Area Max:Y,Custom Scale:Numerator,Custom Scale:Denominator,Plot Paper Units,Plot Rotation,Plot Type,Use Standard Scale,Standard Scale,Standard Scale Type,Media Name,Description,Metric,Pattern,Hidden,Pixel Unit,Layout,Center Point,Polyline Pattern,Closed,Vertex:X,Vertex:Y,Vertex:Z,Vertex:Bulge,Vertex:Angle,Vertex:Start Width,Vertex:End Width,Global Width,Orientation,Size:Base Angle,Size:Size 1,Size:Size 2,Global Z,Solid,Alpha,Pattern:Name,Pattern:From Entity,Pattern:Angle,Pattern:Scale,Label,Tolerance:Upper Limit,Tolerance:Lower Limit,Flip First Arrow,Flip Second Arrow,Fixed Extension Line,Extension Line Length,Measured Value,Block Name,Auto Label Position,Dimension Line:X,Dimension Line:Y,Dimension Line:Z,Extension Point 1:X,Extension Point 1:Y,Extension Point 1:Z,Extension Point 2:X,Extension Point 2:Y,Extension Point 2:Z,Chord Point:X,Chord Point:Y,Chord Point:Z,Far Chord Point:X,Far Chord Point:Y,Far Chord Point:Z,Dimension Angle,Id,Attributes:MyAttribute,QCAD:PageSettings/Scale
Line,0x1131,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,0,-56,0,0,-104,0,,,0,-80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,194,194
Line,0x1132,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.377155080899,,,,,,,,,,3.704128898134,,,,,,,,,,,,,,32.666666666667,-84.229525846817,0,11.2,-97.764008556629,0,,,21.933333333333,-90.996767201723,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,195,195
Arc,0x1133,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,117,,,,,,,,,,,,,,,,,,,,,,,,,30,-80,0,34.377975178855,-82.415229457698,0,5,false,10,5.041300411255,1.008260082251,12.603251028138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,196,196
Line,0x1134,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.889730067755,,,,,,,,,,2.338014675119,,,,,,,,,,,,,,-11,-69,0,-13.7,-66.2,0,,,-12.35,-67.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197,197,197
Circle,0x1135,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,119,,,,,,,,,,,,,,,,,,,,,,,,,-12.374368670765,-67.625631329236,0,,,,1,,2,,,3.14159265359,,,,,,,,,,,,,6.28318530718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198,198,198
Line,0x1136,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.889730067755,,,,,,,,,,5.479607328709,,,,,,,,,,,,,,11,-91,0,13.7,-93.8,0,,,12.35,-92.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,199,199
Line,0x1137,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.889730067755,,,,,,,,,,3.94517063206,,,,,,,,,,,,,,-11,-91,0,-13.7,-93.8,0,,,-12.35,-92.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,200,200
Circle,0x1138,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,122,,,,,,,,,,,,,,,,,,,,,,,,,-17.5,-80,0,,,,1,,2,,,3.14159265359,,,,,,,,,,,,,6.28318530718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,201,201
Circle,0x1139,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,123,,,,,,,,,,,,,,,,,,,,,,,,,-12.374368670765,-92.374368670765,0,,,,1,,2,,,3.14159265359,,,,,,,,,,,,,6.28318530718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,202,202
Line,0x113a,*Model_Space,thin,By Layer,1,By Layer,By Layer,#000000,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,3.14159265359,,,,,,,,,,,,,,85,16.5,0,75,16.5,0,,,80,16.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,203,203
Line,0x113b,*Model_Space,thin,By Layer,1,By Layer,By Layer,#000000,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2360679775,,,,,,,,,,5.340707511103,,,,,,,,,,,,,,74.273457471995,17.5,0,75,16.5,0,,,74.636728735997,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,204,204
Line,0x113c,*Model_Space,thin,By Layer,1,By Layer,By Layer,#000000,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.730899681669,,,,,,,,,,4.980132095913,,,,,,,,,,,,,,89.959179631003,-82.765252433472,0,90.152543263817,-83.470110468943,0,,,90.05586144741,-83.117681451207,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205,205,205
Line,0x113d,*Model_Space,thin,By Layer,1,By Layer,By Layer,#000000,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1.570796326795,,,,,,,,,,,,,,75,16.5,0,75,18.5,0,,,75,17.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,206,206
Line,0x113e,*Model_Space,thin,By Layer,1,By Layer,By Layer,#000000,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.164965809277,,,,,,,,,,0.523598775598,,,,,,,,,,,,,,81.667261889578,-86.736096792654,0,88.738329701444,-82.653613888015,0,,,85.202795795511,-84.694855340335,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,207,207
Line,0x113f,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,0,,,,,,,,,,,,,,57,-2,0,69,-2,0,,,63,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,208,208
Line,0x1140,*Model_Space,thin,By Layer,1,By Layer,By Layer,#000000,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.225943602021,,,,,,,,,,3.050402962367,,,,,,,,,,,,,,89.959179631003,-82.765252433472,0,88.738329701444,-82.653613888015,0,,,89.348754666223,-82.709433160743,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209,209,209
Line,0x1141,*Model_Space,hidden,By Layer,1,By Layer,By Layer,#000000,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,0,,,,,,,,,,,,,,60,-3,0,66,-3,0,,,63,-3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,210,210
Line,0x1142,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.063945294844,,,,,,,,,,3.665191429188,,,,,,,,,,,,,,91.56675682619,-81.837117307087,0,80.253048327205,-88.369089954509,0,,,85.909902576697,-85.103103630798,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,211,211
Line,0x1143,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,0,,,,,,,,,,,,,,72,12.399331503601,0,88,12.399331503601,0,,,80,12.399331503601,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,212,212
Line,0x1144,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.185298494054,,,,,,,,,,5.759586531581,,,,,,,,,,,,,,83.115637016813,-87.57231656225,0,84.142135623731,-88.164965809277,0,,,83.628886320272,-87.868641185764,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,213,213
Line,0x1145,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,0,,,,,,,,,,,,,,72,-12.374368670765,0,88,-12.374368670765,0,,,80,-12.374368670765,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,214,214
Line,0x1146,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,0,,,,,,,,,,,,,,72,-17.5,0,88,-17.5,0,,,80,-17.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,215,215
Line,0x1147,*Model_Space,hatch,By Layer,1,By Layer,By Layer,#000000,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02465092857,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,80.786868670765,-85.203150602209,0,80.786868670765,-86.227801530779,0,,,80.786868670765,-85.715476066494,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,216,216
Line,0x1148,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,1.570796326795,,,,,,,,,,,,,,84,-21,0,84,14,0,,,84,-3.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,217,217
Line,0x1149,*Model_Space,hatch,By Layer,1,By Layer,By Layer,#000000,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041241452319,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,82.374368670765,-84.286607049871,0,82.374368670765,-86.32784850219,0,,,82.374368670765,-85.30722777603,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,218,218
Hatch,0x114a,*Model_Space,hatch,By Layer,1,By Layer,By Layer,#000000,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.300563079746,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,255,ANSI31,Yes,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,219,219,219
Line,0x114b,*Model_Space,hatch,By Layer,1,By Layer,By Layer,#000000,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041241452319,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,83.961868670765,-83.370063497532,0,83.961868670765,-85.411304949851,0,,,83.961868670765,-84.390684223692,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,220,220
Line,0x114c,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.414213562373,,,,,,,,,,0.785398163398,,,,,,,,,,,,,,84,-21,0,85,-20,0,,,84.5,-20.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,221,221
Line,0x114d,*Model_Space,hatch,By Layer,1,By Layer,By Layer,#000000,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.016590523749,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,83.961868670765,-87.044298111707,0,83.961868670765,-88.060888635456,0,,,83.961868670765,-87.552593373582,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,222,222
Line,0x114e,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,3.14159265359,,,,,,,,,,,,,,84,-21,0,60,-21,0,,,72,-21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223,223,223
Line,0x114f,*Model_Space,hatch,By Layer,1,By Layer,By Layer,#000000,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041241452319,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,85.549368670765,-82.453519945194,0,85.549368670765,-84.494761397513,0,,,85.549368670765,-83.474140671353,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,224,224
Line,0x1150,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,66,0,0,66,-21,0,,,66,-10.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225,225,225
Line,0x1151,*Model_Space,hatch,By Layer,1,By Layer,By Layer,#000000,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.037211249909,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,85.549368670765,-86.127754559368,0,85.549368670765,-88.164965809277,0,,,85.549368670765,-87.146360184323,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,226,226
Line,0x1152,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,1.570796326795,,,,,,,,,,,,,,60,-21,0,60,21,0,,,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,227,227
Line,0x1153,*Model_Space,hatch,By Layer,1,By Layer,By Layer,#000000,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041241452319,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,87.136868670765,-81.536976392855,0,87.136868670765,-83.578217845174,0,,,87.136868670765,-82.557597119015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228,228,228
Line,0x1154,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,0,,,,,,,,,,,,,,60,21,0,84,21,0,,,72,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,229,229
Line,0x1155,*Model_Space,hatch,By Layer,1,By Layer,By Layer,#000000,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041241452319,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,87.136868670765,-85.21121100703,0,87.136868670765,-87.252452459349,0,,,87.136868670765,-86.231831733189,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,230,230
Line,0x1156,*Model_Space,0,By Layer,1,By Layer,By Layer,#000000,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,85,20,0,85,-20,0,,,85,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231,231,231
Line,0x1157,*Model_Space,hatch,By Layer,1,By Layer,By Layer,#000000,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.041241452319,,,,,,,,,,4.712388980385,,,,,,,,,,,,,,88.724368670765,-80.620432840517,0,88.724368670765,-82.661674292836,0,,,88.724368670765,-81.641053566676,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,232,232
Line,0x1158,*Model_Space,center,By Layer,1,By Layer,By Layer,#ff0000,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,0,,,,,,,,,,,,,,72,17.5,0,88,17.5,0,,,80,17.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233,233,233
